,Cause,Type,Year,Data Redundancy,Total Deaths,Source,Page at Source,Source URL,CategorizeCause
92,Hipoksia intrauterus dan asfiksia lahir,Bencana Non Alam dan Penyakit,2006,1,1792,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
93,Kecelakaan kerja,Bencana Non Alam dan Penyakit,2006,1,1784,Profil Kesehatan Indonesia Tahun 2006,Lampiran 3.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kecelakaan
94,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),Bencana Non Alam dan Penyakit,2009,1,1747,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Diare
95,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,Bencana Non Alam dan Penyakit,2008,1,1627,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan
96,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2007,1,1599,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.32,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Demam Berdarah
97,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2016,1,1598,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Demam Berdarah
98,"Penyulit kehamilan, persalinan dan masa nifas lainnya",Bencana Non Alam dan Penyakit,2004,1,1508,Profil Kesehatan Indonesia Tahun 2004,19,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
99,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2009,1,1420,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.32,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Demam Berdarah
100,"Kehamilan, Persalinan & Masa Nifas",Bencana Non Alam dan Penyakit,2006,1,1318,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Kehamilan & Persalinan
101,Pneumonia,Bencana Non Alam dan Penyakit,2010,1,1315,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Penyakit Nafas
102,Hipoksia intrauterus dan asfiksia lahir,Bencana Non Alam dan Penyakit,2004,1,1297,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
103,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),Bencana Non Alam dan Penyakit,2010,1,1289,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Diare
104,Penyakit Darah & Organ Pembuat Darah & Gangguan tertentu yang Melibatkan Mekanisme Imun,Bencana Non Alam dan Penyakit,2008,1,1223,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit sistem sirkulasi darah
105,Gempa Bumi,Bencana Alam,2009,1,1209,Profil Kesehatan Indonesia Tahun 2009,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Tsunami dan gempa bumi
106,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2006,1,1196,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.32,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Demam Berdarah
107,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2008,1,1187,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.32,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Demam Berdarah
108,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2015,1,1071,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Demam Berdarah
109,Cedera intrakranial,Bencana Non Alam dan Penyakit,2010,1,1025,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Gangguan Sistem Otak
110,Demam Tifoid dan Paratifoid,Bencana Non Alam dan Penyakit,2009,1,1013,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Demam
111,Sebab Luar Morbiditas & Mortalitas,Bencana Non Alam dan Penyakit,2006,1,1010,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Sebab Luar Morbiditas & Mortalitas
112,AIDS,Bencana Non Alam dan Penyakit,2010,1,979,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
113,Hipertensi Esensial (Primer),Bencana Non Alam dan Penyakit,2010,1,955,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Penyakit sistem sirkulasi darah
114,Hipertensi Esensial (Primer),Bencana Non Alam dan Penyakit,2009,1,935,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit sistem sirkulasi darah
115,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,Bencana Non Alam dan Penyakit,2006,1,925,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan
116,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2019,1,919,Profil Kesehatan Indonesia Tahun 2019,Lampiran 65.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Demam Berdarah
117,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2014,1,907,Profil Kesehatan Indonesia Tahun 2014,Lampiran 6.24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2014.pdf,Demam Berdarah
118,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2013,1,871,Profil Kesehatan Indonesia Tahun 2013,Lampiran 6.29,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2013.pdf,Demam Berdarah
119,"Kehamilan, Persalinan & Masa Nifas",Bencana Non Alam dan Penyakit,2005,1,857,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
120,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2012,1,816,Profil Kesehatan Indonesia Tahun 2012,96,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Demam Berdarah
121,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan,Bencana Non Alam dan Penyakit,2005,1,796,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Faktor yg Mempengaruhi Keadaan Kesehatan & yg Berhubungan dengan Pelayanan Kesehatan
122,AIDS,Bencana Non Alam dan Penyakit,2007,1,788,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
123,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,Bencana Non Alam dan Penyakit,2005,1,724,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Nafas
124,AIDS,Bencana Non Alam dan Penyakit,2008,1,711,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
125,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,Bencana Non Alam dan Penyakit,2006,1,662,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Penyakit Nafas
126,AIDS,Bencana Non Alam dan Penyakit,2006,1,635,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
127,AIDS,Bencana Non Alam dan Penyakit,2019,1,614,Profil Kesehatan Indonesia Tahun 2019,Lampiran 55.d,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,AIDS
128,Cedera YDT lainnya YTT dan daerah badan Multipel,Bencana Non Alam dan Penyakit,2010,1,605,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Cedera YDT lainnya YTT dan daerah badan Multipel
129,"Malformasi, Deformasi Kongenital & Kelainan Kromosom",Bencana Non Alam dan Penyakit,2008,1,605,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,"Malformasi, Deformasi Kongenital & Kelainan Kromosom"
130,Penyakit Sistem Muskuloskeletal dan Jaringan Ikat,Bencana Non Alam dan Penyakit,2008,1,605,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Sistem Muskuloskeletal dan Jaringan Ikat
131,"Malformasi, Deformasi Kongenital & Kelainan Kromosom",Bencana Non Alam dan Penyakit,2005,1,599,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,"Malformasi, Deformasi Kongenital & Kelainan Kromosom"
132,AIDS,Bencana Non Alam dan Penyakit,2011,1,597,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
133,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2011,1,597,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.35,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Demam Berdarah
134,Infeksi Saluran Napas Bagian Atas Akut Lainnya,Bencana Non Alam dan Penyakit,2010,1,589,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Penyakit Nafas
135,Gempa Bumi,Bencana Alam,2018,1,573,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Tsunami dan gempa bumi
136,Gangguan saluran napas lainnya yang berhubungan dengan masa perinatal,Bencana Non Alam dan Penyakit,2004,1,548,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Penyakit Nafas
137,Janin dan bayi baru lahir yang dipengaruhi oleh faktor dan penyulit kehamilan persalinan dan kelahiran,Bencana Non Alam dan Penyakit,2006,1,548,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
138,"Malformasi, Deformasi Kongenital & Kelainan Kromosom",Bencana Non Alam dan Penyakit,2006,1,541,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,"Malformasi, Deformasi Kongenital & Kelainan Kromosom"
139,Dispepsia,Bencana Non Alam dan Penyakit,2009,1,520,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Gangguan Pencernaan
140,Penyakit infeksi dan parasit kongenital,Bencana Non Alam dan Penyakit,2005,1,516,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Infeksi
141,AIDS,Bencana Non Alam dan Penyakit,2005,1,509,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
142,Gempa & Tsunami,Bencana Alam,2010,1,509,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Tsunami dan gempa bumi
143,Kehamilan yang berakhir abortus,Bencana Non Alam dan Penyakit,2004,1,499,Profil Kesehatan Indonesia Tahun 2004,19,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
144,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2017,1,493,Profil Kesehatan Indonesia Tahun 2017,Lampiran 6.31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-tahun-2017.pdf,Demam Berdarah
145,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2015,1,475,Profil Kesehatan Indonesia Tahun 2015,Lampiran 6.28,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-Tahun-2015.pdf,Kecelakaan
146,Demam Berdarah Dengue (DBD),Bencana Non Alam dan Penyakit,2018,1,467,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.32,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Demam Berdarah
147,Penyakit infeksi dan parasit kongenital,Bencana Non Alam dan Penyakit,2006,1,467,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Penyakit Infeksi
148,Penyakit infeksi dan parasit kongenital,Bencana Non Alam dan Penyakit,2004,1,466,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Penyakit Infeksi
149,Demam yang Sebabnya Tidak Diketahui,Bencana Non Alam dan Penyakit,2009,1,462,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Demam
150,Janin dan bayi baru lahir yang dipengaruhi oleh faktor dan penyulit kehamilan persalinan dan kelahiran,Bencana Non Alam dan Penyakit,2005,1,461,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
151,Tsunami,Bencana Alam,2018,1,431,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Tsunami dan gempa bumi
152,Kronis Filariasis,Bencana Non Alam dan Penyakit,2019,1,425,Profil Kesehatan Indonesia Tahun 2019,Lampiran 67.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Kronis Filariasis
153,Letusan Gunung Berapi,Bencana Alam,2010,1,382,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Gunung Berapi
154,Janin dan bayi baru lahir yang dipengaruhi oleh faktor dan penyulit kehamilan persalinan dan kelahiran,Bencana Non Alam dan Penyakit,2004,1,362,Profil Kesehatan Indonesia Tahun 2004,16,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kehamilan & Persalinan
155,AIDS,Bencana Non Alam dan Penyakit,2004,1,361,Profil Kesehatan Indonesia Tahun 2010,115,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,AIDS
156,Kondisi lain yang bermula pada masa perinatal,Bencana Non Alam dan Penyakit,2006,1,342,Profil Kesehatan Indonesia Tahun 2006,21,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
157,AIDS,Bencana Non Alam dan Penyakit,2009,1,331,Profil Kesehatan Indonesia Tahun 2011,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,AIDS
158,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2011,1,324,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.40,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Kecelakaan
159,Penyakit Kulit & Jaringan Subkutan,Bencana Non Alam dan Penyakit,2008,1,324,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Kulit & Jaringan Subkutan
160,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2012,1,314,Profil Kesehatan Indonesia Tahun 2012,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Kecelakaan
161,Gizi Buruk,Bencana Non Alam dan Penyakit,2005,1,293,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.36,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gizi Buruk
162,KLB Diare,Bencana Non Alam dan Penyakit,2006,1,291,Profil Kesehatan Indonesia Tahun 2010,Lampiran 3.34,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Diare
163,Penyakit Mata dan Adneksa,Bencana Non Alam dan Penyakit,2006,1,287,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Mata dan Adneksa
164,Diare,Bencana Non Alam dan Penyakit,2006,1,277,Profil Kesehatan Indonesia Tahun 2006,44,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Diare
165,Penyulit kehamilan dan persalinan lainnya,Bencana Non Alam dan Penyakit,2010,1,276,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Kehamilan & Persalinan
166,Demam Tifoid dan Paratifoid,Bencana Non Alam dan Penyakit,2010,1,274,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Demam
167,Banjir dan Tanah Longsor,Bencana Alam,2007,1,265,Profil Kesehatan Indonesia Tahun 2007,Lampiran 4.27,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Banjir & Tanah longsor
168,AIDS,Bencana Non Alam dan Penyakit,2003,1,261,Profil Kesehatan Indonesia Tahun 2010,115,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,AIDS
169,Kondisi lain yang bermula pada masa perinatal,Bencana Non Alam dan Penyakit,2005,1,255,Profil Kesehatan Indonesia Tahun 2005,17,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
170,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2016,1,252,Profil Kesehatan Indonesia Tahun 2016,Lampiran 6.37,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Kecelakaan
171,Banjir Bandang,Bencana Alam,2006,1,251,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Banjir & Tanah longsor
172,"Penyulit kehamilan, persalinan dan masa nifas lainnya",Bencana Non Alam dan Penyakit,2006,1,250,Profil Kesehatan Indonesia Tahun 2006,24,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Kehamilan & Persalinan
173,Kecelakaan Transportasi,Bencana Non Alam dan Penyakit,2018,1,246,Profil Kesehatan Indonesia Tahun 2018,Lampiran 6.49,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/PROFIL_KESEHATAN_2018_1.pdf,Kecelakaan
174,KLB Diare,Bencana Non Alam dan Penyakit,2008,1,239,Profil Kesehatan Indonesia Tahun 2016,170,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2016.pdf,Diare
175,Gastritis dan Duodenitis,Bencana Non Alam dan Penyakit,2009,1,235,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Gangguan Pencernaan
176,Penyakit Sistem Muskuloskeletal dan Jaringan Ikat,Bencana Non Alam dan Penyakit,2005,1,235,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Sistem Muskuloskeletal dan Jaringan Ikat
177,Penyakit Sistem Muskuloskeletal dan Jaringan Ikat,Bencana Non Alam dan Penyakit,2006,1,235,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Sistem Muskuloskeletal dan Jaringan Ikat
178,Penyakit Apendiks,Bencana Non Alam dan Penyakit,2009,1,234,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.3,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Gangguan Pencernaan
179,Gangguan Mental & Perilaku,Bencana Non Alam dan Penyakit,2006,1,227,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Gangguan Mental & Perilaku
180,Penyakit Darah & Organ Pembuat Darah & Gangguan tertentu yang Melibatkan Mekanisme Imun,Bencana Non Alam dan Penyakit,2005,1,225,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit sistem sirkulasi darah
181,Banjir Bandang,Bencana Alam,2010,1,215,Profil Kesehatan Indonesia Tahun 2010,Lampiran 4.42,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Banjir & Tanah longsor
