label,tweet
sadness,"lebaran rindu sosok wanita pandai menyimpan rahasia, ditatanya rapi rengginang crispy didalam kaleng tanggo dikemas layaknya kado."
happy,tenganan festival festival pariwisata unggulan karangasem memiliki tagline#karangasemthespiritofbali menjanjikan keunikan adat tradisi budaya adiluhung live event tradisi perang pandan mendunia.
anger,"promosinya terencana baik, terlibat program venue palembang, program, survey dibatalkan, alasannya, dana turun. kasarnya, nafsu tenag"
sadness,"tertawa diatas kebodohannya biasa. malu urat malunya putus. mikirnya ""duh, tertawa mikir"
sadness,"yusufk09 nonton penyanyi dangdut ""jual"" goyangan busana seksi dibanding suara bagus"
happy,"order dress gw, posting manapun. akun shopee diliburin. doi order, via dm ig pribadi. terharu ngga?"
fear,"takut ulat juga?? ku tyda :""( kelas ulet tas nangis diceramahin guru besok juga? ya orang namanya takut ya sebelll deh"
fear,"gapaham ditempat kaya takut cowo-cowo deketin basa-basi menyapa bilang assalamualaikum, aing degdegan mati ya allah"
sadness,"keberadaan makanan modern itu. terbayang kerja membayarnya, memakannya. sayaaaaang.... kaya mereka. bisa. terkena sindrom kekinian."
fear,alergi coba??? bintik-bintik gini. makan ikan tuna. cuaca panas kali yaa uucchhh tersiksa kena garukan
happy,malam malam makan juga??? efek perut kunyel kunyel diisi ya gini dinikmati wae yo #anakperantauan #anakkost #maklumlahyo
happy,iya semoga karya terbaik mu skripsi mu lucua2n mu harapan kesembuhanmu nold
happy,hiburan hape lihat #recehkantwitter ya google assistant ngirimin joke macem ini. hidupku kek uang kembalian.
sadness,"salah, salah ""moodku"" bagus, bener. dulu, moodku suka berubah-ubah :("
anger,"bener, salah patut disalahkan introprksi membenarkan permasalahannya, salah e lari takut disalahkan"
anger,beres nih. cari jatuh da gedebuk jatohnya kan. cari cari cari. ada. pedahal tuh posisi pindah pindah. kaca udah. hhhh. why sih. kesal
love,"ramal kerumahku bertemu orangtuaku, tamu undangan pernikahanku pendampingku."
sadness,"galau sih solusi utama ku sih bikin target & rencana, ngapain umur sekian. fokus usaha mencapai itu, biar kepikiran problem quarter life crisis"
sadness,berduka cita kawan a cak. semoga. keluarga tinggalkan a. kesabaran &amp meridoi kepergian alm.. #sajete #wani
anger,"kadang enggan menghubungi kondektur larut malam. kritik disampaikan. harapan pengecekan berkala dijadikan sop, shg komplain suhu"
love,"gimana ya jelasinnya wkwkwk. ya orang kalinya bikin degdegan, mengenal lebih, deket gitu. pas kelas 6 smp (kalau aku), relatif sih wkwkw"
sadness,"duh...kok sedih yah, naikin berat badan susah turunnya mudah puasa seminggu turun 6kg lebih, puasa ke20an. celana melorot semua. ya allah doaku semoga abis lebaran dikasih gemuk kayak ayam negeri ... aminnn... #recehkantwitter #kapangemuk"
anger,"lah, ngapain sih, orang kemarin studi banding mamarika, tuh hasilnya kliatan kan, jalut becak way."
sadness,"cewe, opsi kak: pintar manage uang, yha uang kadang perkaranya sih,"
sadness,"kadang berpikir ""tuhan adil. disana"". pemikiran sulit mengikhlaskan sesuatu. sadar pemikiran keliru. orang ditempat berjuang keras?"
anger,pray for bla bla bla save bla bla bla emmm doa ga? pansol? taek! soksokan iba apa? ditanyain ibakan tau!!! ooo biar elu dibilang orang care sedunia gitu? hmm dunia maya yaaaa taek!
fear,"orang masalah.. nya berbeda beda, mengatasi sendiri... hadapi sulit diatasi sendiri,,, bingung, resah"
happy,"menyantuni anak yatim kewajiban..mereka berhak bahagia kita.layak bahagia..pramuka peduli mereka,pramuka indonesia"
sadness,"certnya kemarin pas ibdah kesaksian sii berkali2 selingkuhi suaminya, si sabar.. awlnya pkir bodo ya dislngkuhin berkali2 diam.."
happy,"semangat punkada rencana sepenuhnya berjalan lancar, tuhan setia langkah keberhasilan #pembisnismuda"
love,o2. good morning - kassy pokoknya enak parah. cinta kassy. lagu kassy enak enak guys ayo dengerin
happy,tema photo putri popok tidur siang hahahaha halo nya~~ photo kimora posting 1 kimora lahir... mohon doanya ya~~~ terima kasih
sadness,peka deketin cowo. insecure cowok kaya hati rusak jatuh cinta
happy,"congrats for me, walopun aktif dedikasikan twitter bangtan, berubah wkt, wow!!!!! #mytwitteranniversary"
happy,"tgb pilihan ummat ummat islam pelbagai penjuru negeri: aceh, padang, riau, lampung, palembang, kaltim, sulsel, papua, dki, jabar, jateng, jogja, jatim, bali, ntb, ntb dukungannya tgb. merindukan pemimoin amanah"
love,*rumah kotor* *12 jam ibuk d rumah* *terus mikir* oh dirasain mamak rumah berantakan? i should give her a big thank for pakai me comfort at beautiful home.
love,sayang ya sayang pisan manja ya manja pisan aleman ya aleman pisan marah ya marah pisan koplak ya ditanyaa ya gaes koplak melebihi
anger,"cmiiw, konotasi ""matematis"" dilekatkan benar-salah/tidak kompromi tepat. matematikawan ya mestinya toleran, non-assuming, meragukan (atau semua) bukti sahih--lay"
happy,"ah, ariel tatum idolaquh. betapa kata2 netijen lelaki doi stay calmdown. namanya public figure mah kudu setrong ya mbak ariel"
anger,"bukti di-indonesia, gubernur cerdas bermoral. bodoh dongok bisa."
anger,"situ timur sana, pakaian tertutup bawah, tingkat sexual harassmentnya tinggi.. ga?? terbuka tertutup pakaian, iman nafsu jaga, kalia"
love,terkenal kegiatan blusukan pasar-pasar gang-gang sempit. tujuan presiden ri berinteraksi langsung masyarakat indonesia. #jokowisekalilagi
anger,manusia kaya gini bikin negara kali ya kloning banyak. biar merasakan enak ngadepin terima masukan alasan orang
sadness,"lakukan mikir keras : 1. mantengin leptop berharap ide. buntu. 2. setel musik berharap merilekskan otak, biar inspirasi. buntu. 3. glibag-glibug kasur, merenung meluk bantal. ketiduran."
happy,"dengar gitu, kalimat diulang2 efek menenangkannya sama.. intinya bapak, ""rumuse sabar tawakal, rezeki arah sangka2.. wes to percoyo ae, wes bismillah"""
fear,"maaf prof, takut ditelanjangi, jauhi korupsi kerna dosa, iman takutlah allah maha mengetahui...."
anger,"pemimpin mendidik rt tukang minta2x alias ngemis ya .. warganya apa2x warga tukang sampah lho pa kewajiban, uang dikumpulkan warga bayar thr petugas keamanan"
sadness,"tadu bercanda2 inshaallah pisah... biar berat egois, semoga sukses ya"
fear,"merepotkanmu, sensei? khawatir. hifumi mengambil sandal memakainya, kebesaran apa. sandal rumah."
love,"cinta ~~~ cinta sayyidina rabi'ah bin ka'ab rasulullah saw keinginanmu? menjawab: ""aku perkara, menemanimu syurga""."
anger,"survey cewek bilang ""cowok omonganya pegang"" mitos gaes!! si cewek begitu. jadi, pegang omongannya siapa? coba survey . berbeda? ku"
happy,"congraduation angela merici akuu. sedih sih yaa sengaja ngalah aku, duluan kamuuu. sarjana lho njel, dikurangi yaa lemot2nya"
love,suka gemes sndr abang main game maapin ya maminya ikutan nimbeung ya bang #cinta #kiddos #play #games
anger,"min gimana nih sesi pertam habis login tadi? penjadwalan ulang tesnya, kesalahan server pelamar"
sadness,"ya sih, serius. ya ketemu, ketemu lalma kena modus too sensitive melewatinya."
anger,artikel puas bikin deskripsi hujat hujat .
love,kaulah ibuku cinta kasihku terima kasihku takkan terhenti matahari bersinar sinari hidupku kehangatanmu
happy,"alhamdulillah ya, anak sultan sidang. terharu :"") (@ fakultas hukum in depok, jawa barat w/ )"
fear,"peliharaan dirumah deg deg an bangeeet malas makan, takut sakit nya ikutan stress gn"
fear,"kostan muncul, teman matiin muncul bakar ampe muncul lagi. takut sumpah"
sadness,sakit melepas orang sayang salah sakit bertahan orang salah ouw! </3
sadness,sih dunia hater? rasul mulia punya. budha punya. nabi isa punya. eloh gueh .... ya kaaan
anger,"when sexual harrassment hot topoc medsos. diawali yucub opini mba gitasav, skandal gitasav ramai ampe accoun twitter doi dideactive, mbak via vallen blow up chat doi sam sam bule. sold out thinking orang bicara :"
fear,"tanya, sore pulang? ""males mas, takut kemaleman. kadang suka beruang hewan buas lainnya."" loh. mampus aing. siang langsung pergi jambi. gangguan sosok mistis kemaleman jalan"
love,"seringkali luput menyadari, betapa banyaknya cinta orang betapa bnyknya mminta perhatian orang lain, betpa cinta perhatian pda orang #fiersabesari"
happy,"saya, via valen simbol perlawanan didukung, apapun profesinya wanita dihormati dihargai"
anger,teman : kuliah dimana cik? me : binus. teman : jurusan apa? me : psychology teman : baca sifat dong? coba baca orgnya eh nyet. nih ya baca sifat orang mah gabakalan gagal percintaan mulus hidup fakefrendzz
love,"pandangan mata,genggaman tangan,pelukan hangat,ada definisi cinta pasangan,ada pemahaman berbeda,ada pengertian berbeda,mungkin terluka,tapi membuatmu berhenti mencari cinta. a perfect cinta"
anger,bukti fitnah. tolong menindaklanjuti pernyataan ybs. dianggap berani ya pak.
happy,"finally... tujuan tercapai, berani buka twitt lagi, takut spoiler ohhooo"
happy,"bersyukur mendoakan kakeknya, karno, anak-anak yatim piatu. #bulanbungkarno #junibulanbungkarno #penyambunglidahrakyatindonesia #nomor2untukjatim #jatimpilihgusipulputi #kabehsedulurkabehmakmur h"
anger,"mengenalnya, paham sisi kasar, brengsek, hati, suka memanfaatkan orang, egois, joke-ing, mesum sisi buruk lainnya, ya.. phsyco terduga."
sadness,"eike bilang ""mah pusingku ilang-ilang ya?"" mama singkat padat mengiris-iris hati: ""ya kegendutan, pusing"". penyakit mama hubungin efek ""kelemon/montok kepunjulen"" kecetit, gatel"""
anger,"reformasi demokrasi negeri ini, kenyataannya mengakui kelebihan seseorang. pemimpin itu, diambil contoh nya. generasi muda menolak"
sadness,"lucu gitu, ngebayangin. dulunya kota itu, kepikir pergi sana, kota jatuhnya berkunjung. aneh. aneh aja.. nangis. bilang ikutttt orang orang sana. kangen"
love,teman lelakimu kerumah izin papa mengambilmu darinya. papa berhati-hati izin papa lelaku menggantikan posisinya nanti.
anger,"pusing. chat abang gojek, lupa driverku. chat anak seangkatan chat nya alay ""lum bubu si?"" muntah!!!"
anger,bego!!! dihukum ditembak bela?? sibangsat cabul kabur bela 7jt orang tolol. berani balik?? kenapa??? waras berpikir jawabannya
happy,"5/6/15 lalu, kalinya ngenalin cowok orang tua modus si cowok ngajarin matematika sbmptn. whutttt 3 tahun??"
sadness,"lulusan sastra inggris bicara bahasa inggrisnya ""curiga"" ""curious"" !! ""suspicious"" :((( untung bicara ""delicious"" yaallah s,s"
anger,min jwban permasalahan sinyal area pondok kelapa jaktim sdhkah jwban/saya ganti kartu.karna device 22ny pakai kartu 3
sadness,"bahagia kayun , khia merelakan ngetag kayun, meluangkan kayun, kayunya bukanya senang , kaya sedih sedihnya wkwkw"
fear,"sih, 3 gereja, lihat adain imunisasi anak-anak mereka, kelenteng sama, juga.. ngeri depopulasi..."
anger,"perempuan2 bilang pacaran dosa, langsung dinikahin aja, dihalalin sinii, biar suruh bicara makan atiii nikah cintaa, kasihan nangis sndirian, temani giihh.."
sadness,"line lapak ramai bertengkar bahas ""orang jawa bicara pakai gue/lo"" bikin status pakai bahasa jawa,yg komen pakai bahasa jawa, termenung mengerti:("
anger,"pakai internet banking full site handphone, transfer rekening bca, ""appli 2"" bisa, ""appli 1"" bisa, tekan tombol ""lanjut"" / ""kirim"" bisa. dana terkirim, haru"
fear,"idung nyium bau bau enak teman rumahnya lumayan ngechat ""kalian nyium bau gas ?"" njirrr iya bau gas gas beracun huh ? ko parno sih"
love,"ngerti sayang mereka. daehyun 6thn ikuti mereka, menang kalah care ny"
anger,"jenis orang bikin males ketemu senang nyombongin sendiri. ya pede ya, butuh pengakuan. males sih bicara orang kek gini, cantik/ganteng banget?"
anger,"ngabalin tokoh, salah tuh, hidungnya gede ntar, toko sorban kali ya."
anger,"samin rasis tua pikun lupa statemenya melampui tuhan . nggugu karsane priyonggo , gonjak ganyuk ngelingsemi ....."
love,"ter dimana bilang sayang berubah , tunggu :) leave tolong lupain ya hehe kaya lupain , sadar sayang dar"
love,"cinta of my life, my first son, my spirit, my reason to face the world.. besok anak mama mulei sekolah baru, pengalamam baru, petualangan baru, teman2 baru, miss"
happy,"aja, orang kurus&kecil makannya banyak, gede lhoo:') orang gendut :') makan gendut:') minder orang kurus&gemuk!! bersyukur allah"
anger,niat kenal balas niat ?? cuekin y cuekin rugi kehilangan aduh salah orang broo
fear,"ngeri bacanya.. ibuku bilang sih, efeknya tuh mata. mending gausah."
happy,"maju pelajaran , mencapai deretan gelar kesarjanaan , mencintai sastra. tinggal hewan pandai ."
love,"kepastian kuinginkan dirimu ku pergi laut denganmu polos ~kachuusha @ daplangu beach, ujung kulon island"
happy,"yakin, amalkan orang (sedekah) gantinya. bismillah, ikhlas.. disimpan baik, hartamu orang membutuhkan. hidup harta."
sadness,hehe iya sakit fir -_-
anger,"bule dong, persepsi normal bule bebas ngapain gitu? ku kasar ... kasar!!!!!"
sadness,"kabar ku pagi ini... tagihan uang kegiatan sekolah setahun, pengumuman kenaikan spp... hmm ukk nya selesai baiklah, lebaran sah jajan n jalan2... dirumah sajah..."
happy,acara asik? acara asikahan anak #inisahurtiketcomharike20
fear,"dek, takut, perasaan melebihi batas kakak kelas. berhenti ya? alasan mengabari bosan."
anger,iya dm twitter sempet selewat ngeliat. hapus foto2 konser sue mau. macem jelpi. suruh tutup sih bodoh sih.
fear,"njirrr memasuki daerah rumah motor dibelakang langsung ngebut, gabrani liat spion. kecepatan kencang i could fly my heart is about to explode bcz degdegan"
love,"i cinta you. i cinta you so much. bicara gini kamu, semoga bosan ya. omongin tulus hati"
happy,ko si drummer lucu sih mukanya. kek tengil ngegemesin. dibiasin. *sereceh bias.
love,"fisik, bersama. cinta kamu, mencintai lain. satu, satu."
love,"menyentuh tangan mengusap pipinya lembut. monika memejamkan matanya seakan merasakan kasih sayang nyata yuno. ""aku berhenti mencintaimu."""
anger,kena wo pak? pelanggaran nya orang tahu:) bubarkan persepakbolaan indonesia mafia nya musnah:)
anger,antrinya sih ya nunggu tanda tangan wadek akademik masyaallah yak. elemen2 berurusan dtng. ya puasa telat pulang cepat hmmm
happy,"bertanya, mengancingkan kemejanya memakai jaketnya. sungguh, ican menggelengkan kepala kelakuan sahabatnya ini, ganteng mah diapain bagus. thanks, balas ezra tersenyum ican ah, indahnya"
anger,jakarta bilang tidak-ada mengajak main! pas jogja ajak main pas bacot doang!
happy,twitter pelarian sosmed curhat sosmed sebebas curhat sini.... .... .... .... ahahahahahhaha
happy,sukses tiada hnti karyamu kemakmuran negeri n met tugas mulia menteri n tims barokah
happy,"gaya presiden jokowi blusukan masyarakat, bertanya, mendengar berdiskusi, lupa menyalami masyarakat dijumpai. #jokowisekalilagi"
sadness,biarlah memaki. ku tanyakan. adaka pendosa putus asa. menyakiti manusia menyelamatkan keyakinannya.
fear,"/rlt/ im not ready for tomorrow, takut buruk besok hari, sahabat brng senang sedih, ngejalanin takut"
happy,"bertiga puluh, dipilih 300 orang mendaftar. ya gimana berasa bangga workshop diajar fajar arcana, agus noor, seno gumira ajidarma. #workshopcerpenkompas2015 #tsygmc foto: (masih)"
sadness,"sesedih kah sayang kita. pindahkan kelas lantai 1. teman susah sedih, happy, cerita bisa."
happy,"oh a. seru ya semoga sukses a. mendengarkan suaramu dibalik radio, membaca karyamu."
fear,"seram sendiri, mama ku semangat suruh behelan. pas dikasih dokter mama langsung lagi-.- takutnya efek gituu"
fear,"mengistirhatkan badan penting, istirahat tugas kunjung kelar, bangun duduk laptop dengerin radio, tinggal nulis nya mikir kemana-mana, ya"
happy,"pepatah. kenal sayang, kenal disayang? lho wkwk. btw jelasin mas nya tau? wwk berkunjung planet ku bekasi? hahaha"
anger,pln php surat edaran maintain daerah a jam 1 skg jam 2.40 listrik hidup jg. telat bayar tagihan langsung denda mati listrik potongan gak?
fear,pesentren first experience makhluk ghaib. bentukannya orang matanya naujubillah seram pengliatan langsung kuning. kepala sakit berat. ketindisan. this is why im not interested in horror movie
fear,"#ct caratss, takut deh teman pas masuk kuliah, pas wawancara temennya, coba bicara nya gimana carats?:("
happy,"bertiga puluh, dipilih 300 orang mendaftar. ya gimana berasa bangga workshop diajar fajar arcana, agus noor, semo gumira ajidarma. #workshopcerpenkompas2015 #tsygmc foto: (masih)"
anger,"cuek sih , risih nyaman ya hati2 pokoknya.. ajak nongkrong breng"
anger,"aneh.... wanita dilecehin ngelawan, dibully... itulah... giliran ibunya, saudara perempuannya dilecehin.. ngamuknya kaya kesurupan setan se-neraka. bully korban banyaknya perempuan juga.. #ajaib #savewoman #saveviavallen"
happy,"sehari, padat menyenangkan. wish me luck and healthy deh seminggu *fingers crossed*"
anger,"diatas langit langit kepentingan politik negeri pragmatis mendukung kepentingan domestik sekedar sentimen. negara donor terbesar palestina us , kemana turki arab? kenyataan pelajari"
sadness,"kaos gildan, cenderung cepat buluk jahitan rantainya copot gitu, produksinya massal qcnya sepertinya. sayang design bagusnya dibarengin kualitas kaosnya juga."
love,timang timang anakku sayang..... buah hatiku sepajang jalan... siang malan ku berdoa semoga kelak bahagia #harianaknasional
anger,"utang 2thn ditagih ngilang2an, hp keluaran terbaru ketinggalan, otak gasih? sininya gabutuh duit apa, iya utangnya"
anger,negara hukum. hkm panglima. spendapat dsampaikn polri lakukan upaya hukum nyinyir saja.
sadness,penerimaan siswa sek neg favorit sistim zona menuai kontra siswa pandai ortunya mampu. perband 85 0/0 : 15 0/0 &amp
anger,"via vallen, sepakat nikita mirzani lebay! suka gituin, tinggal tolak block orang, share2 konsumsi publik! kek menampilkan kepolosan berdosa gimana gituu.. #menurutkusih"
happy,"pacu fisik lagi, biar terjaga puasa gini bikin labil, persiapan puncak mandala diksar wanadri menjauh tampaknya, ayodong semangat!"
fear,sobatkenthel duren sawit bilang bikin indomie sante bodohnya scroll timeline menemukan foto pocong suzanna takut dapur :(((((
sadness,si pembuat sembab berpasang-pasang mata pertunjukkan boneka
anger,ah eyang pelit tidak-saya carin istri tujuh nih
happy,"happy birthday my lovely wife amie amoy .... wish all the best, ....semoga didalam perlindungan swt, umur, senantiasa bahagia keluarga kerabat, sehat selalu, rejeki, wanita hebat keluarga.....aamiin"
sadness,"menyedihkan menganggap via vallen lecehkan amat, pamor mencapai keviralan w.a.n.i.t.a addeh, korban, wanita pula. normalnya dukung, empati"
sadness,"mestinya bijak beliau orang2 hebat, tokoh tustas urusan kebutuhan ekonomi, sayangnya orang-orang sekelas gusdur karno, beliau2 diuji sejarah mencatatnya"
love,"putri mencium katak merubahnya pmarahan tampan, mencium bantal seriap malam tidur, berharap benar-benar berubah kamu. cinta .-d-"
sadness,"benar, baca komen-komen ig via vallen miniatur mentalitas orang indonesia menyikapi pelecehan seksual verbal fisik."
sadness,"malu, duduk diam berpangku angan sabdanya terngiang mati angan angan berdiri balutan kegelisahan berdaya keada terseok seok lautan lautan kerinduan mu rindu."
happy,"kabar lagi, pas lihat2 shirtmovie youtube, salah teman organisasi jaman kuliah produser film, shortmovie. berkembang ajan hidupne"
anger,"jaman hutang tembus 4000an t, jaman mako brimob kebobolan, jaman bocah cina nghina presiden dibilang lucu2an, jaman geruduk kantor berita m"
anger,gimane?gk berani komen kan?ngomong kek pancasila.. bicara pancasila mabuk kan?ato bicara liat teks?anak muda optimis?hek.. anak muda kehilangan urat malu iye kali.. :) https:/
anger,"halah cewek jaman di-catcall langsung nulis esai ig story harrasment, dasar sjw iyalah"
happy,"tuhkan, apple tuh kasih update tanggung - tanggung, hp jadul update, kaya android setahun ditinggalin :')"
love,"ya allah tugasku selesai baik, putri kecilku lucu kucintai wanita cantik.. bahagiakanlah suaminya..."
happy,ngelatih 1/2 dikasih amanat tugas master ngelatih atlet korea.. go international semoga pelatih profesional
sadness,"yaudah tuh situ hopeless. niat tuh ngebahagiain usaha sendiri. mikir, ngewujudin wish kecuali ?"
love,"sebenci-bencinya sikap keras menyebalkanmu , orang rela menukarkan singgahnya cepat-cepat rebah samping tubuhmu memelukmu , ""kamu , cinta"""
fear,"gara2 baca orang ditelp ""benar (sebut nama ditelp)?"" si penerima ""iya"" abis ditutup telpnya, angkat telepon nomor dikenal siapa, apa, nama sebut. ngeri cuy"
happy,"pekerjaan mengganggu hobi, hobi merugikan pekerjaan..mari berolahraga tweeps"
anger,"ujung2nya duit maning, duit maning, tuu duitnya? bayar thr daerah disuruh bayar pakai apbd nya.. haiyaaah..."
anger,air kemanggisan mati sore?? info apa2 lapor sistem gangguan air mati. ah serasa hidup alam gaib.
anger,"kalah kalah pamor ya jadinya, ngomongnya njeplak wae, melemahkan seseorang, menciptakan ujaran kebencian, menyebarkan berita hoak dll. pantaslah tokoh nasional negeri ini, bicaranya k"
anger,"heboh gaberner n wklnya,gmana tuh dibenerin memangnya zaman kolonial..rusaklah negara eson"
love,"terimakasih. warna kertas putih, merangkai bunga vas kosong, bernyanyi merdu diruang sunyi ikatan."
love,"sayang orang tuaku ini.. untukku hatinya.. curhat, ngadu, ketawa.. selamat beribadah haji tamu allah ya bunda sani ayah"
happy,"liat show stun deh, lincah bet... curiga pas bayi dibedong tuh opa mick rt : sex nya den bikin muda"
happy,"(4) bersyukur dipertemukan partner program diselenggarakan laz ymm fi karantina hafiz quran, suasana iftar sahur menyenangkan cerita seru karantina program radio. mari bersyukur"
anger,"menyepelakan kalimat, ""halah digituin, lebih. biasa, lebay si. gausa cari muka deh."" that's why many men are easy to do sexual harrashment because many victim still keep silent and stay to think positive."
sadness,"narsumku rutin minum obatnya. skip setahun minum obat, baik2 aja. skip minum obat, dengar bisikan2, parah. minum obatnya terkontrol, bilang menjalank"
fear,"#oldmoneygakngerasain paniknya benda dibagikan guru pas dikelas. rela kekantin wc jaga benda ini. malu nilainya, takut ketahuan nama orang tua."
happy,"pencitraan ah, orang grup angkatan gtau wkwkkw, tenang temund2 males digrup angkatan takut dicuekin kok."
fear,"mobil mama nyetir, duduk sampingnya. jalan kan, sempit ya buka kaca kiri mas2 berdiri. namanya jalan ya takut keserempet"
anger,"ya tutup matalah krn. pejabat pintar etika kabinet main nyerang, berani y berani etika dimana kabinet gundul"
love,"sayang skz super talented kagetnya masi seumuran aku, memotivasi sih"
anger,"ya salahnya si mbak dishare ulang, postan mu iku grup tenggelem jauh. kirim poto poto itu, kan. gregetan mbak karo koe."
sadness,"rindu malam sebenarnya. sinyal menahanku. lanjutkan siang ini. , rindu.. :("
anger,"web permata profesional. program cashback 10rb token pln, klik info, masuknya program paket kuota data. piye iki?"
anger,"pengajian ustadznya provokator mulut jamban, wajib dibubarkan."
fear,"{mu} guys ngecat rambut, ngecat rambut, saran warnanya ya? heboh2 takut kaget"
happy,"so yeah, tahun, bareng-bareng menerbitkan buku kumpulan cerpen sendiri. judulnya #tsygmc. buku diterbitkan format fisik e-book. #workshopcerpenkompas2014"
anger,.... jakarta diacak2 .... memilih pemimpin kemampuan samasekali..... warga menanggung derita.....
happy,"pemuda/i indonesia bangga, indonesia pemimpin2 hebat sekedar tindakan. doa rakyat indonesia semoga jujur n bijaksana"
anger,"untung nanggepin. mayan malu bicara grup nanggepin? kadang nanggepin berati orang2 ngerti maksud. tujuan bicara itu. not funny to discuss, sis. maksud &amp"
fear,"*yang ku takut, nampak berjalan memperoleh pembelajaran. seakan aman sebatas angan-angan meninggalkan penyesalan*"
sadness,"cilacap,. cinta gagal terucap purbalingga,. pura2 bahagia melihatmu berpaling ber keluarga semarang,. merindukan orang tersayang cilandak,. cinta mendadak makan sari roti,.. saking rindunya merobek hati,... #ceritahariini."
sadness,mengerti pendengar saja. mu 3 bertegur sapa. alasannya keegoisanku hub menjauh. egois.
happy,"ngejalanin usaha lika liku keunikan konsumen. prinsip gue, penuhin permintaannya, i will do it. aneh."
sadness,"sayang :( kecuali anak s1 s2 psikologi bisa, bbrpa penjurusan psikologinya. banter ambil psikologi sdm. ambil psikologi klinis belajar s1 :( psikologi klinis basic nya psikologi"
anger,"addeh, mas sekalian, via vallen korban, mesti speak up terulang kembali. bentuk spread awareness hukuman ngedm stop. dilecehkan kayak diam aja? gimana pelaku berhenti"
happy,menyadari kekuatan emak mendoakan anaknya. salah anaknya diranah kesehatan. doa manjur beliau keterima ekonomi meninggalkan poltekkes bekos gabetah for some reasons
anger,"beli mesin cuci best denki central park, instalaai senin 4 jun 2018, jam 10-an. dihubungi"
anger,"mending saja... kampanye nya 4 intoleran, anti kebhinekaan, ormas radikal pancasila... wes ojok kakean macem-macem goblok mu bro.."
sadness,temu (atau nemu) sosok nyambung-ngobrol-ngalor-ngidul duduk-ga-pindah-tempat jam 15 - 22 7 - 21 terdistraksi hp miss him a lot.
sadness,"teman bantuin bungkus kado istrinya hadiah ultah pernikahan. disuruh selipkan quote romantis. ahlinya, katanya. hati meringis, :)"
fear,"*ceritahariini barusan ketiduran bentar daaan mimpi seram dong. ceritanya camp organisasi sma salah perkemahan. anehnya related kehidupan nyata, disitu ramai-ramai main volly bareng volly."
anger,tolol didik kacung ..mengerti ibadah puasa takut laparrrr!!!. rakyat memiliki menikmati tanahnya liang lahatnya ...!!
anger,"suka heran ukhti hobi nyindir ngurusin hidup orang ngomentarin hidup orang bawa-bawa visi misi bersama, tolong profesyenel urusan pribadi urusan forum tyda dicampur adukkan."
happy,suka godain someone dianya malu malu wkwk nawarin makanan seisi kelas bilang 'suapin sayang gua' yaudah shock senang haha
anger,"kemerdekaan hak bangsa ...( kec yahudi,kurdi , catalonia , koptik ) sbgmn menutup mata penjajahan yaman qatar.artinya standart ganda ..."
anger,orang berotak tahi jakarta bagus ! menilai kepentingan !
anger,"politisi bicara jual agama dipilih didukung....itu tandanya mampu, bernalar, daya kreasi!! #udahgituaja"
sadness,"oke sekian terima diskusi terima nasehat orang menikah, anak, anaknya usia toddler paham campur aduknya anak usia toddler"
sadness,"include kemang dp php doang,tp besok fix include blokm 2slot kosong"
sadness,"bang karni, buka kasus2 pelanggaran ham penculikan pembunuhan mahasiswa era orde baru."
sadness,kabar duka ranah mode internasional. desainer kondang kate spade tewas gantung scarf.
sadness,"kemarin lihat puisinya adimas imanuel judulnya cinta is never far from you, makdrandang #tumblr diblok, bikin tulisan judulnya cinta jauh."
fear,"ayahku bali tadu kabarin ini. ayah bilang ""kalo ayah wafat doain ya, blabla"" sumpah takut namanya meninggal."
love,langsung jatuh cinta pandangan away shirt nya man city ini. nih nike bikin design kece. must have item!
sadness,"jatuh cinta hati bikin sakit hati, jatuh cinta jiwa bikin sakit jiwa. uda, apa2 berlebihan."
fear,"sifat buruk dirubah bertambahnya umur berubahnya keadaan. kebiasaan buruk sulit ya? hobi, sih?"
sadness,"keempat, sarapan seno tuti berbicara ""kalian ikhlas ternyata,"" raut wajah berubah dibandingkan kemarin, tertawa bercanda kemarin hilang pagi itu."
love,"merawat cinta butuh kesabaran, mengalah memahamidan merangkul. marah tertahankan, ingat2lah betapa indahnya apapun lalui, sejelek apapun keadaannya, ""aku bersyukur memilikimu"""
fear,oh . takut soalnya.. takut didenda ketidak tauan..hahahaha...satu lagi.. pph cabang dilapor npwp cabang ya.. ppn dipusatkan.. ya pph nya lapor npwp cab
happy,makasih doanya genks dukung sangka maju tahan maygad terima kasih bambang lurah pondok cabe2an dukung n nonton ini. cinta genks
happy,"bersyukurlah pacar cerita kamu, sayang bikin pacar senyaman sendiri, cemburu buta"
sadness,"mudik kali bawaan lumayan banyak, baju beli cirebon dibawa pulang muat badan. lol"
happy,dikampung ngerti go-pay teh.. udahlah beli amplop lebaran lucu-lucu isiin duit bener..
love,kasih sayang anugrah terbesar kehidupan memiliki orang memberikannya ikhlas tulus anda.
love,"yunjin pas perkenalkan peserta ig langsung jatuh cinta pas liat fotonya, cantik suaranya bagus adem main ukulele"
anger,"kepala daerah presiden wapres, amanah besar. beda jokowi. jokowi maju 2014, pdip gerindra sepakat dukung jokowi perjanjian batu tulis. majunya jkw"
fear,huh tanggal ulum!sunguh menyeramkan tidak-langsung kelas sih ribet mesti ulum -
sadness,"ya berkali kali farah suka ingatkan diterusin. perhatian dia, sulit lupain dia. nihya far, coba jaman ahelah. ujung2nya penuh risiko (re: suka kgn). hmm pahit :((("
